case_folder,mode,n,speedup_mean,speedup_median,speedup_mean_ci_lo,speedup_mean_ci_hi,speedup_median_ci_lo,speedup_median_ci_hi,runtime_median_sec,opt_rate,infeasible_rate,mean_case_speedup
matpower/case57,WARM+PRUNE-0.50,60,8.162907966149616,6.224553340336206,6.910612924644634,9.512287496670242,5.582088011999214,6.740006675726585,0.1024999618530273,0.7666666666666667,0.23333333333333334,3.5615481906559183
matpower/case57,WARM+PRUNE-0.50+GNN,60,8.142766308233398,6.215828218526983,6.959743999351292,9.426358830282247,5.786978792989304,6.481933317438754,0.1064999103546142,0.7666666666666667,0.23333333333333334,3.607078431629981
matpower/case57,WARM+PRUNE-0.80,60,6.497126508732224,5.093272381929291,5.601804899533571,7.434383821433705,4.812500798276574,5.550006357834841,0.1204999685287475,0.7666666666666667,0.23333333333333334,2.3904772822014064
matpower/case57,WARM+PRUNE-0.80+GNN,60,6.435983654847657,5.3319691665820015,5.559593427785254,7.375374300447329,4.786168982601187,5.525004172329115,0.12400007247924805,0.7666666666666667,0.23333333333333334,2.4167821699232523
matpower/case89pegase,RAW,54,1.0,1.0,1.0,1.0,1.0,1.0,11.777000069618225,1.0,0.0,
matpower/case89pegase,RAW+COMMIT,54,1.089653137045232,1.0458164117585786,1.0461231259097783,1.136828950990207,1.030501549415456,1.0543770607347156,11.087999939918518,1.0,0.0,1.044893077879277
matpower/case89pegase,RAW+GNN,54,1.0851173470754285,1.0179628902178353,1.0469372690957528,1.1251699429246915,1.0123831949382636,1.030423919110501,11.391499996185303,1.0,0.0,1.078062500351707
matpower/case89pegase,WARM,54,1.429802452097736,1.359723623952502,1.3545111439116544,1.5159281245631793,1.3342255342919715,1.4654730496364872,8.376500010490417,1.0,0.0,1.1390003305091103
matpower/case89pegase,WARM+HINTS,54,1.414058840516766,1.3647505751526607,1.3430997374927647,1.4987355071284474,1.3083402918334073,1.454488309186633,8.515999913215637,1.0,0.0,1.1340541002024251
matpower/case89pegase,WARM+HINTS+COMMIT,54,1.4324247036123225,1.3819876294580662,1.3605582855626306,1.5165092962349331,1.3380836741181008,1.4512281471129138,8.260499954223633,1.0,0.0,1.14011951617411
matpower/case89pegase,WARM+HINTS+COMMIT+GRU,54,1.0806369284175052,1.0223570831852673,1.046488267082165,1.1195389241595866,1.0132051292561433,1.0342492338329348,11.325999975204468,1.0,0.0,1.0278050684516817
matpower/case89pegase,WARM+HINTS+GRU,54,1.0675327204467544,1.0211277113151807,1.0283709977574553,1.112369198614503,1.0099180732318667,1.0277178148043378,11.358500003814697,1.0,0.0,1.0252790897637947
